log_id,user_id,route_mode,start_location,end_location,start_lat,start_lon,end_lat,end_lon,total_distance_m,walking_distance_m,transport_modes,crosswalk_count,user_speed_factor,slope_factor,weather_factor,estimated_time_seconds,actual_time_seconds,time_difference_seconds,accuracy_percent,estimated_walk_time_seconds,walk_time_difference_seconds,walk_accuracy_percent,active_walking_time_seconds,paused_time_seconds,real_walking_speed_kmh,pause_count,weather_id,started_at,ended_at,created_at
28,25,transit,마포구 망원동 473-22,동국대학교 신공학관,37.560769,126.903815,37.558056,126.998311,13116,194.31,"[""SUBWAY""]",2,0.879,1.047,1.022,2602,2595,-7,99.73,,,,144,2449,4.86,1,,2025-12-02T00:00:50.185000,2025-12-02T00:44:05.904000,2025-12-02T00:44:06.307307
34,13,transit,군포시 궁내초.중학교,더클라임 이수점,37.363521,126.920864,37.482011,126.981487,19697,4281.56,"[""BUS"", ""SUBWAY""]",3,1,0.969,1.025,2966,2936,-30,98.99,,,,2031,8,7.6,1,,2025-12-03T02:50:40.124000,2025-12-03T03:39:36.879000,2025-12-03T03:39:37.322329
40,15,transit,Bongeunsa Temple. COEX North Gate,롯데월드타워&롯데월드몰,37.513683,127.057594,37.513652,127.104079,4848,478.4,"[""BUS""]",3,1,0.998,1.047,1922,1413,-509,73.52,,,,937,528,1.84,18,,2025-12-03T03:57:20.892000,2025-12-03T04:20:54.264000,2025-12-03T04:20:53.815181
43,25,transit,잠실역 2호선,마포구청역 6호선,37.513311,127.100231,37.563487,126.903426,28533,372.18,"[""SUBWAY""]",1,0.879,0.999,1.026,3594,3450,-144,95.99,,,,249,3188,8.78,5,,2025-12-03T13:16:15.989000,2025-12-03T14:13:46.204000,2025-12-03T14:13:46.550662
44,28,transit,잠실역 2호선,래미안장안2차아파트,37.513311,127.100231,37.573965,127.075388,13204,743.79,"[""BUS"", ""SUBWAY""]",1,1,1.004,1.026,2888,3623,735,74.55,,,,621,2947,6.98,13,,2025-12-03T13:15:42.199000,2025-12-03T14:16:05.619000,2025-12-03T14:16:06.032080
45,25,walking,망원동 472-2번지 A동 204호 마포구 서울특별시 KR,대명하이츠,37.562379,126.903619,37.55921,126.904092,465,471.16,,1,0.879,0.981,1.057,380,282,-98,74.21,,,,307,86,6.7,4,,2025-12-03T14:16:52.284000,2025-12-03T14:21:34.558000,2025-12-03T14:21:34.978540
46,25,walking,대명하이츠,마포구청역 6호선 6번출구,37.55921,126.904092,37.562696,126.903352,580,542.16,,1,0.696,1.02,1.057,391,313,-78,80.05,,,,296,17,7.06,2,,2025-12-03T15:48:29.276000,2025-12-03T15:53:42.747000,2025-12-03T15:53:43.174246
47,25,walking,마포구 망원제2동 472-1,탑건진선미아파트,37.562522,126.903313,37.561188,126.899653,393,670.33,,0,0.696,1.019,1.057,264,250,-14,94.7,,,,226,18,6.26,4,,2025-12-03T15:55:33.534000,2025-12-03T15:59:43.989000,2025-12-03T15:59:44.377024
48,25,walking,마포구 망원동 433-9,올웨이즈어거스트,37.558637,126.902096,37.55611,126.903519,451,417.35,,1,0.696,1.004,1.057,298,264,-34,88.59,,,,262,2,6.19,1,,2025-12-03T16:08:10.942000,2025-12-03T16:12:35.088000,2025-12-03T16:12:35.426280
49,25,walking,마포구 19,힙댕,37.556034,126.903552,37.557639,126.908364,583,646.41,,1,0.696,0.993,1.057,382,379,-3,99.21,,,,375,4,5.58,1,,2025-12-03T16:13:28.400000,2025-12-03T16:19:47.747000,2025-12-03T16:19:48.037422
50,25,walking,마포구 482-9,대명하이츠,37.558075,126.908045,37.55921,126.904092,550,619.49,,0,0.696,1.001,1.057,364,341,-23,93.68,,,,338,0,5.87,1,,2025-12-03T16:22:01.237000,2025-12-03T16:27:42.434000,2025-12-03T16:27:42.781150
51,25,walking,마포구 482-9,대명하이츠,37.558075,126.908045,37.55921,126.904092,550,1564.05,,0,0.696,1.001,1.057,364,341,-23,93.68,,,,340,0,5.83,0,,2025-12-03T16:22:01.237000,2025-12-03T16:27:42.651000,2025-12-03T16:27:42.895258
52,25,transit,마포구 망원동 425-39,선미네마트,37.559211,126.904226,37.558683,126.996252,13123,1409,"[""SUBWAY""]",3,0.659,1.023,1.037,2337,2841,504,78.43,,,,880,1960,5.76,7,,2025-12-04T00:10:14.018000,2025-12-04T00:57:35.832000,2025-12-04T00:57:36.334063
53,28,walking,스파크플러스 코엑스점,아오내순대 코엑스몰점,37.512833,127.057244,37.510403,127.05843,348,348,,0,0.714,0.982,1.038,227,210,-17,92.51,,,,208,0,6.01,0,,2025-12-04T03:31:52.016000,2025-12-04T03:35:22.577000,2025-12-04T03:35:22.222461
55,20,walking,모아한방병원,공릉역 7호선 2번출구,37.618249,127.075137,37.625359,127.073292,837,839.34,,2,1,1.001,1.027,774,708,-66,91.47,,,,705,2,4.28,1,,2025-12-04T06:28:14.661000,2025-12-04T06:40:03.426000,2025-12-04T06:40:03.791637
56,25,transit,중구 장충단로,대명하이츠,37.557883,127.003254,37.55921,126.904092,15294,1866,"[""SUBWAY""]",3,0.657,0.964,1.014,2840,2980,140,95.07,1213,-303,75.02,910,2069,7.38,8,,2025-12-04T06:22:45.486000,2025-12-04T07:12:26.129000,2025-12-04T07:12:26.571028
