log_id,user_id,route_mode,start_location,end_location,start_lat,start_lon,end_lat,end_lon,total_distance_m,walking_distance_m,transport_modes,crosswalk_count,user_speed_factor,slope_factor,weather_factor,estimated_time_seconds,actual_time_seconds,time_difference_seconds,accuracy_percent,estimated_walk_time_seconds,walk_time_difference_seconds,walk_accuracy_percent,active_walking_time_seconds,paused_time_seconds,real_walking_speed_kmh,pause_count,weather_id,started_at,ended_at,created_at
94,13,course,방죽교-동막교,방죽교-동막교,37.431304,126.705528,37.396809,126.673056,5070.0,5070.0,,0,1.066,0.843,,3420,3420,,,,,,,0,,0,,2025-12-07T06:14:26.327000,2025-12-07T07:11:26.327000,2025-12-07T07:11:25.398870
91,13,walking,군포시 궁내초.중학교,둔전초등학교,37.363819,126.920799,37.361467,126.924415,448.0,448.0,,3,0.67,0.95,0.979,368,286,-82,77.72,368,-113,69.29,255,31,6.34,2,,2025-12-07T03:42:28.097000,2025-12-07T03:47:14.191000,2025-12-07T03:47:13.627417
90,13,walking,군포시 궁내초.중학교,둔전초등학교,37.363516,126.920851,37.361467,126.924415,426.0,426.0,,2,0.67,0.894,0.979,299,10,-289,3.34,299,,,,10,,1,,2025-12-07T03:41:04.038000,2025-12-07T03:41:14.726000,2025-12-07T03:41:14.129462
72,13,walking,광진구 25,밀리언코인노래연습장,37.539592,127.067279,37.542485,127.05484,1269.0,1269.0,,2,0.641,0.995,1.02,820,984,164,80.0,820,-8,99.02,812,173,5.62,7,,2025-12-05T06:56:40.669000,2025-12-05T07:13:05.306000,2025-12-05T07:13:05.695651
67,13,walking,광진구 자양동 7-17,CGV 건대입구,37.540472,127.068317,37.539698,127.067017,175.0,175.0,,0,1.0,0.992,1.02,158,112,-46,70.89,158,-48,69.62,110,2,5.72,1,,2025-12-05T06:25:01.858000,2025-12-05T06:26:54.462000,2025-12-05T06:26:54.189348
65,13,transit,군포시 궁내초.중학교,금정역 4호선,37.363516,126.920847,37.372468,126.943473,2976.0,668.0,"[""BUS""]",2,0.86,0.945,1.038,1072,1482,410,61.75,576,-275,52.26,301,1181,7.99,6,,2025-12-05T04:50:26.383000,2025-12-05T05:15:08.746000,2025-12-05T05:15:08.500210
34,13,transit,군포시 궁내초.중학교,더클라임 이수점,37.363521,126.920864,37.482011,126.981487,19697.0,4281.56,"[""BUS"", ""SUBWAY""]",3,1.0,0.969,1.025,2966,2936,,,,,,2031,8,7.6,1,,2025-12-03T02:50:40.124000,2025-12-03T03:39:36.879000,2025-12-03T03:39:37.322329
29,13,transit,군포시 궁내초.중학교,동국대학교 정보문화관P,37.363505,126.920919,37.559609,126.99866,33366.0,30.62,"[""BUS"", ""SUBWAY""]",2,0.86,0.978,1.009,4369,27,,,,,,24,0,4.61,0,,2025-12-02T05:48:11.079000,2025-12-02T05:48:38.421000,2025-12-02T05:48:38.104024
18,13,walking,피자스쿨 산본궁내점,동성푸른별어린이집,37.361318,126.922889,37.363606,126.921382,336.0,679.76,,3,0.858,1.099,0.994,604,199,,,,,,388,0,6.3,0,,2025-12-01T08:39:59.547000,2025-12-01T08:43:19.018000,2025-12-01T08:43:18.260638
17,13,walking,군포시 궁내초.중학교,피자스쿨 산본궁내점,37.363806,126.920963,37.361318,126.922889,378.0,6.42,,3,0.858,0.938,0.994,593,207,,,,,,4,404,5.8,2,,2025-12-01T08:33:57.281000,2025-12-01T08:37:24.711000,2025-12-01T08:37:24.105243
16,13,walking,군포시 수리동주민센터,묘향롯데아파트 940동,37.355785,126.920709,37.362236,126.919931,1150.0,2221.2,,2,0.858,1.075,0.994,1149,647,,,,,,1290,0,6.19,0,,2025-12-01T08:17:50.153000,2025-12-01T08:28:37.244000,2025-12-01T08:28:36.495538
15,13,walking,군포시 8,수리고등학교,37.357689,126.924025,37.355115,126.919647,530.0,780.86,,0,0.858,1.092,0.994,444,210,,,,,,418,0,6.73,0,,2025-12-01T08:11:57.251000,2025-12-01T08:15:27.804000,2025-12-01T08:15:27.083399
13,13,transit,군포시 26-18,군포문화예술회관,37.358962,126.930924,37.366622,126.927218,1295.0,758.3,"[""BUS""]",3,0.858,1.023,0.979,1038,869,,,,,,860,93,3.17,4,,2025-12-01T07:45:33.271000,2025-12-01T08:00:02.402000,2025-12-01T08:00:01.711732
12,13,walking,군포시 궁내동 942 궁내롯데묘향아파트,헌혈의집 산본센터,37.36332,126.920632,37.359677,126.932038,1643.0,1958.26,,7,1.0,0.912,0.979,2084,803,,,,,,1015,0,6.95,0,,2025-12-01T06:48:10.324000,2025-12-01T07:01:33.703000,2025-12-01T07:01:32.979448
8,13,walking,TRB - 송파소리길,TRB - 송파소리길,37.518422,127.067174,37.518422,127.067174,5910.0,5910.0,,0,,,,5220,5220,,,,,,,0,,0,,2025-11-30T02:03:08.411000,2025-11-30T03:30:08.411000,2025-11-30T03:30:08.241339
6,13,transit,군포시 궁내초.중학교,WI컨벤션,37.363362,126.920697,37.286444,127.035871,21132.0,,"[""BUS""]",2,1.0,0.984,0.988,3744,2,,,,,,0,2,,2,,2025-11-29T16:56:32.942000,2025-11-29T16:56:35.710000,2025-11-29T16:56:36.260243
7,13,walking,서울둘레길: 우면산,서울둘레길: 우면산,37.473311,127.029283,37.473311,127.029283,5650.0,5650.0,,0,,,,6180,6180,,,,,,,0,,0,,2025-11-29T15:46:18.359000,2025-11-29T17:29:18.359000,2025-11-29T17:29:18.716314
5,13,walking,서울둘레길: 우면산,서울둘레길: 우면산,37.473311,127.029283,37.473311,127.029283,5650.0,5650.0,,0,,,,6180,6180,,,,,,,0,,0,,2025-11-29T13:54:57.222000,2025-11-29T15:37:57.222000,2025-11-29T15:37:57.573635
3,13,transit,군포시 궁내동 942 궁내롯데묘향아파트,WI컨벤션,37.363447,126.920548,37.286444,127.035871,15954.0,,"[""BUS""]",2,1.0,0.987,0.99,4008,20,,,,,,0,38,,2,,2025-11-29T12:02:12.319000,2025-11-29T12:02:32.505000,2025-11-29T12:02:33.033944
2,13,transit,군포시 궁내동 942 궁내롯데묘향아파트,WI컨벤션,37.363447,126.920548,37.286444,127.035871,15954.0,142.16,"[""BUS""]",2,1.0,0.987,0.99,4008,62,,,,,,180,75,2.84,6,,2025-11-29T12:00:36.662000,2025-11-29T12:01:38.802000,2025-11-29T12:01:39.601033
1,13,transit,군포시 궁내동 942 궁내롯데묘향아파트,WI컨벤션,37.363464,126.920543,37.286444,127.035871,19662.0,,"[""BUS""]",3,1.0,0.982,0.988,4866,24,,,,,,0,9,,1,,2025-11-29T11:54:06.366000,2025-11-29T11:54:30.916000,2025-11-29T11:54:31.506907
40,15,transit,Bongeunsa Temple. COEX North Gate,롯데월드타워&롯데월드몰,37.513683,127.057594,37.513652,127.104079,4848.0,478.4,"[""BUS""]",3,1.0,0.998,1.047,1922,1413,,,,,,937,528,1.84,18,,2025-12-03T03:57:20.892000,2025-12-03T04:20:54.264000,2025-12-03T04:20:53.815181
38,15,transit,Bongeunsa Temple. Lotte Duty Free Shop,롯데월드타워&롯데월드몰,37.513727,127.058831,37.513652,127.104079,4955.0,134.3,"[""BUS""]",3,1.0,1.009,1.047,2023,135,,,,,,107,52,4.54,2,,2025-12-03T03:54:40.698000,2025-12-03T03:56:56,2025-12-03T03:56:55.369154
24,15,walking,Dongdaemun District 167,꾼들이꾸운누룽지통닭,37.574319,127.075114,37.572667,127.075522,278.0,957.66,,1,1.0,0.998,1.0,351,302,,,,,,596,0,5.8,0,,2025-12-01T12:04:29.877000,2025-12-01T12:09:32.729000,2025-12-01T12:09:32.334987
93,20,walking,공릉2차신도브래뉴아파트,태릉입구역 7호선 2번출구,37.62568,127.071919,37.618366,127.075222,1013.0,1013.0,,2,1.0,1.003,0.988,954,782,-172,81.97,954,-175,81.66,779,3,4.68,1,,2025-12-07T04:14:51.711000,2025-12-07T04:27:53.742000,2025-12-07T04:27:54.081769
83,20,walking,공릉동도깨비시장,공릉2차신도브래뉴아파트,37.622233,127.075913,37.62568,127.071919,790.0,790.0,,2,1.0,0.982,1.038,809,962,153,81.09,809,-160,80.22,649,313,4.39,11,,2025-12-06T06:43:01.163000,2025-12-06T06:59:03.513000,2025-12-06T06:59:04.305873
82,20,walking,모아한방병원,공릉동도깨비시장,37.618249,127.075137,37.622233,127.075913,588.0,588.0,,2,1.0,1.013,1.038,603,477,-126,79.1,603,-126,79.1,477,0,4.43,0,,2025-12-06T06:28:15.095000,2025-12-06T06:36:12.300000,2025-12-06T06:36:13.129483
81,20,transit,공릉2차신도브래뉴아파트,모아한방병원,37.62568,127.071919,37.618249,127.075137,1068.0,272.0,"[""BUS""]",1,1.0,0.984,1.038,391,493,102,73.91,280,-103,63.21,177,316,5.54,3,,2025-12-05T21:19:48.975000,2025-12-05T21:28:02.355000,2025-12-05T21:28:03.245232
69,20,walking,모아한방병원,공릉2차신도브래뉴아파트,37.618249,127.075137,37.62568,127.071919,1024.0,1024.0,,2,1.0,1.002,1.027,1002,933,-69,93.11,1002,-89,91.12,913,20,4.03,4,,2025-12-05T06:24:18.217000,2025-12-05T06:39:51.635000,2025-12-05T06:39:52.231632
61,20,transit,공릉2차신도브래뉴아파트,모아한방병원,37.62568,127.071919,37.618249,127.075137,1068.0,272.0,"[""BUS""]",0,,,,344,242,-102,70.35,233,-81,65.24,152,89,6.44,2,,2025-12-04T21:21:29.352000,2025-12-04T21:25:31.874000,2025-12-04T21:25:32.491104
55,20,walking,모아한방병원,공릉역 7호선 2번출구,37.618249,127.075137,37.625359,127.073292,837.0,839.34,,2,1.0,1.001,1.027,774,708,,,,,,705,2,4.28,1,,2025-12-04T06:28:14.661000,2025-12-04T06:40:03.426000,2025-12-04T06:40:03.791637
26,20,walking,모아한방병원,공릉2차신도브래뉴아파트,37.62568,127.071919,37.618249,127.075137,1024.0,1952.14,,2,0.79,1.003,0.983,874,988,,,,,,1970,0,3.56,0,,2025-12-01T13:08:54.299000,2025-12-01T13:25:22.990000,2025-12-01T13:25:23.693349
11,20,walking,공릉2차신도브래뉴아파트,모아한방병원,37.62568,127.071919,37.618249,127.075137,1024.0,43.78,,2,0.79,1.003,0.983,874,958,,,,,,18,947,8.75,1,,2025-12-01T04:14:29.152000,2025-12-01T04:30:27.984000,2025-12-01T04:30:28.478231
10,20,walking,모아한방병원,공릉2차신도브래뉴아파트,37.618249,127.075137,37.62568,127.071919,1024.0,748.03,,2,1.0,1.002,0.977,1067,887,,,,,,860,31,3.13,3,,2025-11-30T13:17:17.403000,2025-11-30T13:32:05.019000,2025-11-30T13:32:05.448382
9,20,walking,공릉2차신도브래뉴아파트,모아한방병원,37.62568,127.071919,37.618249,127.075137,1024.0,628.53,,2,1.0,1.003,0.977,1059,1004,,,,,,599,414,3.78,2,,2025-11-30T04:14:20.553000,2025-11-30T04:31:05.093000,2025-11-30T04:31:05.593936
4,20,walking,공릉2차신도브래뉴아파트,모아한방병원,37.62568,127.071919,37.618249,127.075137,1024.0,,,2,1.0,1.003,0.975,1057,22,,,,,,0,22,,2,,2025-11-29T15:37:28.683000,2025-11-29T15:37:51.546000,2025-11-29T15:37:51.667104
89,21,walking,노원구 공릉동 670-26,공릉1동주민센터,37.61901,127.077008,37.624821,127.073846,844.0,844.0,,0,0.758,0.997,0.988,566,600,34,93.99,566,30,94.7,596,4,5.11,1,,2025-12-07T03:20:25.158000,2025-12-07T03:30:25.794000,2025-12-07T03:30:26.045791
88,21,walking,노원구 경의.경춘선 숲길,서울생활사박물관,37.624024,127.092394,37.619702,127.077015,1641.0,1641.0,,4,0.758,0.988,0.988,1254,1406,152,87.88,1254,-103,91.79,1151,255,5.15,5,,2025-12-07T02:54:53.654000,2025-12-07T03:18:20.013000,2025-12-07T03:18:20.417317
87,21,walking,양우정담,화랑대철도공원,37.626202,127.07192,37.624299,127.092804,2512.0,2512.0,,7,0.758,1.015,0.988,1973,2006,33,98.33,1973,-246,87.53,1727,279,5.22,7,,2025-12-07T02:19:42.319000,2025-12-07T02:53:09.123000,2025-12-07T02:53:09.468321
79,21,walking,노원구 232,스타벅스 공릉역점,37.637333,127.067555,37.626423,127.072237,1351.0,1351.0,,4,0.759,0.996,1.038,1122,981,-141,87.43,1122,-170,84.85,952,29,5.11,3,,2025-12-05T09:12:28.164000,2025-12-05T09:28:50.071000,2025-12-05T09:28:50.800722
78,21,walking,서울아이티고등학교,노원구민의전당,37.642347,127.061887,37.63895,127.066326,734.0,734.0,,2,0.846,0.993,1.038,657,531,-126,80.82,657,-159,75.8,498,33,5.29,3,,2025-12-05T08:47:54.286000,2025-12-05T08:56:46.190000,2025-12-05T08:56:46.829212
